Length of List, Number Of Sorts, Variance
3000,350,3786335.8018486663
3000,400,16240442.637147496
3000,450,2988349.343473634
3000,500,11955741.803935753
3000,550,4529732.506561825
3000,600,9246722.293238742
3000,650,8040723.011517715
3000,700,8518956.392505296
3000,750,9036848.944909189
3000,800,10191584.89020938
3000,850,4681543.993334593
3000,900,13270153.814565368
3000,950,5302400.361653395
3000,1000,8428932.030378098
3000,1050,4436629.5467866035
3000,1100,6770662.951609133
3000,1150,7567629.668093705
3000,1200,7602388.270997628
3000,1250,9166978.540625157
3000,1300,5073488.645338794
3000,1350,8480276.793683793
3000,1400,5595526.491023131
3000,1450,5552848.322955934
3000,1500,7392113.539173485
3000,1550,6343791.345535664
3000,1600,3652612.114940572
3000,1650,6453017.686884926
3000,1700,7096445.981294279
3000,1750,5331698.022139238
3000,1800,5041419.532791
3000,1850,5598104.892970232
3000,1900,3316164.7156101246
3000,1950,4199055.733248115
3000,2000,5426324.774537108
3000,2050,6603457.378715631
3000,2100,5028004.744640143
3000,2150,3789541.2352250232
3000,2200,5438472.652786952
3000,2250,4911546.352289826
3000,2300,5001352.282789579
3000,2350,4032094.040183089
3000,2400,5453707.831788711
3000,2450,3693104.384024388
3000,2500,2870622.3236210775
3200,50,11060894.184136152
3200,100,9870412.670376683
3200,150,2374993.8439340163
3200,200,20210970.28187072
3200,250,18614811.58675744
3200,300,9566456.88372311
3200,350,12912300.228369763
3200,400,13005604.102599807
3200,450,12198872.18214684
3200,500,12780384.67090452
3200,550,10445870.080445964
3200,600,8843216.477478737
3200,650,9281822.124790015
3200,700,6837820.119931456
3200,750,5216320.087723395
3200,800,9647617.46959581
3200,850,6654349.052195638
3200,900,3741980.0094479816
3200,950,7915010.35997021
3200,1000,9417440.0606493
3200,1050,11072710.420194713
3200,1100,5527759.297284141
3200,1150,10086378.567051224
3200,1200,12228655.526573066
3200,1250,9416021.125706058
3200,1300,6794296.252536084
3200,1350,6172022.457445172
3200,1400,13206467.587336633
3200,1450,7335310.361771766
3200,1500,7685123.567246502
3200,1550,6086915.855788704
3200,1600,6184247.844343342
3200,1650,4851574.834178282
3200,1700,7748304.046219469
3200,1750,7930114.790845091
3200,1800,8132069.298533649
3200,1850,5791040.778337619
3200,1900,7060081.489872477
3200,1950,4146231.9785196213
3200,2000,7067070.527274925
3200,2050,3588775.6812999183
3200,2100,3982372.7250179043
3200,2150,4630411.341582539
3200,2200,5970486.352420635
3200,2250,5031754.516662266
3200,2300,5890547.758910568
3200,2350,4556672.610096358
3200,2400,5111162.628865673
3200,2450,4671964.253826124
3200,2500,3925431.9970011567
3400,50,18882019.25253674
3400,100,23285325.054067835
3400,150,23675184.49279268
3400,200,28597337.83680643
3400,250,9499612.278704878
3400,300,14234513.525701378
3400,350,17758717.97739224
3400,400,19408317.051299453
3400,450,11153495.86599254
3400,500,10408244.089211075
3400,550,7092794.565484187
3400,600,12570978.12967111
3400,650,9591740.857041482
3400,700,9407325.543803038
3400,750,8817813.83033993
3400,800,10974054.666153332
3400,850,9574569.567783492
3400,900,10726559.025211126
3400,950,12294936.204620492
3400,1000,10867896.49370828
3400,1050,8694169.183335023
3400,1100,5116502.046499846
3400,1150,6848396.1536387615
3400,1200,10764068.440870682
3400,1250,10993735.452758651
3400,1300,5092082.464532093
3400,1350,10939293.036706557
3400,1400,8918196.454596927
3400,1450,8034444.539333805
3400,1500,6651312.587942196
3400,1550,10602071.45926805
3400,1600,6598907.510166977
3400,1650,10669426.276357887
3400,1700,9330539.110279338
3400,1750,8418463.617561001
3400,1800,5993694.326759658
3400,1850,6212243.413368268
3400,1900,5094766.388021147
3400,1950,6090778.653206488
3400,2000,5837310.583768452
3400,2050,6481064.07782373
3400,2100,5688485.68122793
3400,2150,5724862.560604905
3400,2200,5604936.1856864225
3400,2250,6147250.690193773
3400,2300,5395185.234286074
3400,2350,6085928.343186852
3400,2400,5809442.844800398
3400,2450,4211931.950396772
3400,2500,6528418.3897507945
3600,50,7023315.894815589
3600,100,16863277.24994527
3600,150,26509556.24244363
3600,200,14802773.796501089
3600,250,6876359.490530081
3600,300,7217081.890981248
3600,350,4229562.570683864
3600,400,17353056.55088154
3600,450,12599252.824074363
3600,500,13506946.065882752
3600,550,7286880.278372739
3600,600,11351347.446773991
3600,650,15975549.851451367
3600,700,13332418.464841465
3600,750,12565770.167847738
3600,800,12639388.722706053
3600,850,16355901.865555858
3600,900,13740117.358617496
3600,950,6100592.034614493
3600,1000,8310711.678699089
3600,1050,9167025.797321988
3600,1100,10923857.824047642
3600,1150,9940010.480923668
3600,1200,10017796.205305193
3600,1250,8343018.769743561
3600,1300,10478298.69121072
3600,1350,7949545.8008122
3600,1400,12953759.642282723
3600,1450,7403304.437524098
3600,1500,5832198.156450994
3600,1550,7907414.656091232
3600,1600,7390211.076206973
3600,1650,6107813.844825657
3600,1700,8443227.350161701
3600,1750,7265453.0928578675
3600,1800,7621107.676320488
3600,1850,7610641.561917873
3600,1900,9182543.95229827
3600,1950,6553990.437210114
3600,2000,8028129.164126424
3600,2050,6877934.410710298
3600,2100,6881927.18120286
3600,2150,5740135.07238967
3600,2200,7233452.85994169
3600,2250,5317124.96724219
