Length of List, Number Of Sorts, Variance
2000,450,625495922389.3636
2000,500,1112100168481.481
2000,550,1553556334743.9639
2000,600,636667405551.4907
2000,650,1509721719500.6975
2000,700,2432859246367.9756
2000,750,1485372182907.5095
2000,800,1669042613124.2837
2000,850,2477546812184.188
2000,900,2530393365956.3325
2000,950,3645632859977.161
2000,1000,3357621270779.966
2000,1050,1677894546584.318
2000,1100,3469350595072.311
2000,1150,6833398883483.88
2000,1200,5946818056069.527
2000,1250,5908649764664.383
2000,1300,6924172992989.271
2000,1350,3539280217863.889
2000,1400,7816327633927.283
2000,1450,8383486169036.544
2000,1500,7811150949627.146
2000,1550,3628158961680.767
2000,1600,6201154670241.984
2000,1650,12129922838645.002
2000,1700,10039529045503.793
2000,1750,4942520554526.9
2000,1800,9571725973936.322
2000,1850,10676200579932.371
2000,1900,10218795199721.855
2000,1950,5932521010757.03
2000,2000,10775992425726.525
2000,2050,8013147231807.449
2000,2100,8058153743470.669
2000,2150,9641260894913.94
2000,2200,13039092281557.43
2000,2250,10275969318289.988
2000,2300,16174895127869.979
2000,2350,12557892323190.133
2000,2400,12422818056989.932
2000,2450,16661534169582.232
2000,2500,13026394285835.002
2200,50,8166160133.355935
2200,100,100077468441.1768
2200,150,223828965282.5403
2200,200,600022516562.9236
2200,250,232039747773.722
2200,300,100530853467.94217
2200,350,458021181874.2854
2200,400,964897628916.096
2200,450,505073434527.3064
2200,500,857390954408.0011
2200,550,1675830001577.9336
2200,600,2231735433584.4575
2200,650,4657108340931.506
2200,700,3299127517892.0034
2200,750,1533981874769.835
2200,800,1456799401890.753
2200,850,2698914521067.608
2200,900,4345585116654.345
2200,950,4501252236352.892
2200,1000,4904059229513.276
2200,1050,4299835872514.558
2200,1100,3596896330299.195
2200,1150,4519404721496.208
2200,1200,6046565184347.18
2200,1250,5660606378362.806
2200,1300,6539997987432.002
2200,1350,6859590954301.195
2200,1400,6158737027206.592
2200,1450,5812326972808.645
2200,1500,11927894299165.451
2200,1550,9344288354558.504
2200,1600,6509982402632.456
2200,1650,9794082917193.04
2200,1700,10089917474654.416
2200,1750,9315299837058.447
2200,1800,10071991101872.836
2200,1850,10275309582338.43
2200,1900,11162625904223.166
2200,1950,18300268499832.902
2200,2000,11137008194412.496
2200,2050,15950486175184.62
2200,2100,16680487645384.006
2200,2150,16953642006527.389
2200,2200,13804693134238.195
2200,2250,12510533910503.225
2200,2300,15079065219569.736
2200,2350,16016461677160.164
2200,2400,15128427302099.475
2200,2450,8458593318757.419
2200,2500,18609179453936.22
2400,50,10510364773.51647
2400,100,165363386088.83047
2400,150,162529350303.2139
2400,200,83456991214.2715
2400,250,430961907106.24866
2400,300,832496539816.7527
2400,350,608271964662.7675
2400,400,1466507682215.1367
2400,450,2072433545480.4336
2400,500,625476816021.0582
2400,550,1219075529000.064
2400,600,1927899883622.5964
2400,650,2512906729942.524
2400,700,2451793396263.155
2400,750,1442581919499.1243
2400,800,4639522479242.784
2400,850,4914528188313.296
2400,900,3539417942366.784
2400,950,5453062022251.038
2400,1000,3658828552848.8486
2400,1050,3541533011577.691
2400,1100,9162417284423.652
2400,1150,4954695582848.663
2400,1200,4916383770766.953
2400,1250,4665573931544.714
2400,1300,5647451507805.393
2400,1350,4783028317820.063
2400,1400,10465410606923.676
2400,1450,8779434495724.832
2400,1500,6660963269414.132
2400,1550,10043417955048.053
2400,1600,10067973636203.156
2400,1650,14008110136620.99
2400,1700,8867428542623.172
2400,1750,9633490697133.691
2400,1800,16599425286909.49
2400,1850,14445779488928.533
2400,1900,16089188207471.031
2400,1950,12157325088387.652
2400,2000,16116303061082.742
2400,2050,13477399669428.363
2400,2100,16924702623216.576
2400,2150,11547249002492.316
2400,2200,13427343435881.102
2400,2250,15123528926868.867
2400,2300,12476743895299.703
2400,2350,9185390893471.967
2400,2400,15993728292646.36
2400,2450,13399551853700.928
2400,2500,32356579018184.65
2600,50,16187986847.566223
2600,100,98163593239.11076
2600,150,294983160663.4845
2600,200,478346922470.55774
2600,250,742116712731.5085
2600,300,844013074572.3502
2600,350,872836107495.7654
2600,400,2359180909276.392
2600,450,1104070284455.8381
2600,500,3012626827300.313
2600,550,1606799991392.3496
2600,600,2946874916003.591
2600,650,2711113538208.1416
2600,700,3439036827194.1055
2600,750,4967055864307.409
2600,800,2068891281345.0278
2600,850,3311592925041.896
2600,900,3698148767665.931
2600,950,7847589706776.177
2600,1000,10422308187098.852
2600,1050,6735774092362.73
2600,1100,2626143472732.921
2600,1150,7372728484010.7
2600,1200,8230921383177.443
2600,1250,6033409390679.793
2600,1300,10788172135084.88
2600,1350,9686979657882.473
2600,1400,11707223896927.139
2600,1450,12330552351756.49
2600,1500,9043129757789.703
2600,1550,12902145887982.855
2600,1600,11793834341802.572
2600,1650,11398205904104.447
2600,1700,10334885613241.38
2600,1750,10666837737551.04
2600,1800,16003938108097.17
2600,1850,13428928428144.787
2600,1900,15364535821939.707
2600,1950,16530426434665.633
2600,2000,11114900487313.072
2600,2050,14950967599588.473
2600,2100,16001560132641.7
2600,2150,19556427233915.02
2600,2200,20885089941332.223
2600,2250,17705975015639.953
2600,2300,16031086984501.912
2600,2350,23638687391766.547
2600,2400,28075752621747.336
2600,2450,15477504625211.148
2600,2500,23219064665103.363
2800,50,88968025270.77303
2800,100,31158483023.544
2800,150,211584298136.59543
2800,200,445700839245.38666
2800,250,557402847767.7523
2800,300,1378039907198.756
2800,350,2545608264248.565
2800,400,2159608013701.3494
2800,450,1829901548217.674
2800,500,1709530895531.329
2800,550,2453389876728.487
2800,600,883653048805.6808
2800,650,2950250267538.641
2800,700,3658525238295.368
2800,750,4273699112489.099
2800,800,3200735311634.474
2800,850,3985698539574.8564
2800,900,5146662662322.893
2800,950,6953471756988.848
2800,1000,8878671557733.535
2800,1050,5402207637020.752
2800,1100,12471286492658.201
2800,1150,9798137479848.219
2800,1200,10923171854425.133
2800,1250,13810218838523.637
2800,1300,9926164982791.188
2800,1350,14216564962878.168
